44129,CLG_RD,GT_RD,GT_SD,CLG,NF
Logl_mean,-31.423064803546975,-32.22992722342882,-30.739034711992982,-36.997739228845695,-35.407541118822415
Logl_std,0.17006847515836027,0.14751812587396826,0.0,0.08495085678731985,0.06114795176776008
LoglStd_mean,10.34666077499546,8.632378315130634,3.301599070087914,7.362168957123705,4.3464678924876905
LoglStd_std,0.9616244535014238,0.6986368042397681,0.0,0.6205868726555631,0.06839291478635888
Brier_mean,0.2313446893867109,0.3134251823679697,0.035133641094707235,0.23475194174170824,0.22163842558985986
Brier_std,0.004324371330875662,0.0038505621657061568,0.0,0.0022634743651870756,0.0025766583903503865
AUC_mean,0.7119765548368056,0.5948009830276992,0.9918413366855875,0.6614155825636268,0.6992143251895007
AUC_std,0.007696084426546018,0.006665154497073989,0.0,0.004592711695649275,0.007151084588139494
Time_mean,45.49651465415955,0.025223851203918457,0.0,27.960506892204286,554.904132604599
Time_std,36.33688327765127,0.000587332826841263,0.0,9.497664179331796,2.861614477395996
params,BIC,"{'bandwidth': 0.5994842503189408, 'kernel': 'gaussian'}","{'bandwidth': 0.5994842503189408, 'kernel': 'gaussian'}",BIC,"{'lr': 0.0011893748024327797, 'weight_decay': 0.003926240913146035, 'hidden_units': 9, 'layers': 3, 'n_flows': 7, 'sam_noise': 0.2152178414962072, 'split_dim': 12, 'batch_size': 1667, 'steps': 500, 'perms_instantiation': [tensor([20,  3, 19, 18,  1, 21,  8,  6, 22, 12, 15, 13,  4, 11, 16,  7,  5, 14,
         0,  9, 17, 10, 23,  2]), tensor([ 0,  5,  7, 13, 12,  3, 10, 22, 11, 15, 16,  8,  4, 19, 17, 21, 18,  9,
         1, 23,  2, 14, 20,  6]), tensor([ 9, 22, 15, 10, 11, 18,  4,  5,  0, 14,  3, 16, 13,  6, 20, 12, 19,  2,
         7,  1, 23, 21, 17,  8]), tensor([21,  8, 12, 15,  1,  3,  4, 11, 17,  2, 10,  5, 23, 18, 19, 16, 13, 20,
         7, 14,  9,  6,  0, 22]), tensor([ 7, 22, 21,  6,  8, 19,  3, 14,  1, 18,  0, 12,  5, 20, 23,  2,  9, 13,
        16,  4, 15, 17, 10, 11]), tensor([ 1, 21, 12,  3, 22, 17,  8,  7,  0,  2, 16, 13,  4,  5, 11, 23, 18, 15,
        20, 19,  6, 14, 10,  9]), tensor([20,  0, 22,  1, 18,  6,  2, 17, 13,  9, 10, 12, 16, 23,  4,  5, 15, 14,
         3, 11, 19,  7, 21,  8])], 'Actual_steps': 371.5}"
